id,igdb_id,original_id,name,slug
110568,44330,NULL,"Ganbare Golf Boys",ganbare-golf-boys
110569,50744,NULL,"Family Mini Golf",family-mini-golf
110570,50640,NULL,"Crazy Mini Golf 2",crazy-mini-golf-2
110571,44941,NULL,"Fox Sports Golf '99",fox-sports-golf-99
110572,42809,NULL,"Pangya: Fantasy Golf",pangya-fantasy-golf
110573,23465,NULL,"Golf Resort Tycoon II",golf-resort-tycoon-ii
110574,89011,NULL,"OK Golf",ok-golf
110575,103986,NULL,"OK Golf",ok-golf--1
110576,27233,NULL,"10 Golf",10-golf
110577,96137,NULL,"Up Golf",up-golf
110578,40582,NULL,"My Golf",my-golf
110579,65112,NULL,"Japan Pro Golf Tour 64",japan-pro-golf-tour-64
110580,85410,NULL,"Super Swing Golf PANGYA",super-swing-golf-pangya
110581,3403,NULL,"Mario Golf: Toadstool Tour",mario-golf-toadstool-tour
110582,19837,NULL,"duplicate Golf with Friends",duplicate-golf-with-friends
110583,48144,NULL,"Lee Trevino's Fighting Golf",lee-trevinos-fighting-golf
110584,62333,NULL,"British Open Championship Golf",british-open-championship-golf
110585,95614,NULL,"Nicky: The Home Alone Golf Ball",nicky-the-home-alone-golf-ball
110586,130774,NULL,"The Golf",the-golf--1
110587,103122,NULL,"Golf Boy!",golf-boy
110588,41429,NULL,"PGA Golf",pga-golf
110589,132305,NULL,"Golf Ace",golf-ace
110590,94116,NULL,"The Golf",the-golf
110591,64369,NULL,"WGT Golf",wgt-golf
110592,95358,NULL,"Pro Golf",pro-golf
110593,77091,NULL,"Toy Golf",toy-golf
110594,92101,NULL,"Par Golf",par-golf
110595,9285,NULL,"Bandai Golf: Challenge Pebble Beach",bandai-golf-challenge-pebble-beach
110596,4340,NULL,"World Cup Golf: Professional Edition",world-cup-golf-professional-edition
110597,84482,NULL,"A Little Bit of... Nintendo Touch Golf",a-little-bit-of-dot-dot-dot-nintendo-touch-go
110598,83517,NULL,"Total War: Shogun 2 - Dragon War Battle Pack",total-war-shogun-2-dragon-war-battle-pack
110599,108364,NULL,"WAR_WAR_WAR: Smiles vs Ghosts",war-war-war-smiles-vs-ghosts
110600,21739,NULL,"Star Wars: Clone Wars Adventures",star-wars-clone-wars-adventures
110601,82111,NULL,"Napoleon: Total War - Heroes of the Napoleonic Wars",napoleon-total-war-heroes-of-the-napoleonic-w
110602,90726,NULL,"War - Card War",war-card-war
110603,83518,NULL,"Total War: Shogun 2 - Saints and Heroes Unit Pack",total-war-shogun-2-saints-and-heroes-unit-pac
110604,26404,NULL,"Star Wars Battlefront: Rogue One - X-Wing VR Mission",star-wars-battlefront-rogue-one-x-wing-vr-mis
110605,17476,NULL,"Star Wars: The Force Unleashed - Jedi Temple Mission Pack",star-wars-the-force-unleashed-jedi-temple-mis
110606,90521,NULL,"Front Wars: World War II",front-wars-world-war-ii
110607,78357,NULL,"Star Wars: The Clone Wars",star-wars-the-clone-wars--1
110608,23745,NULL,"World War I: The Great War",world-war-i-the-great-war
110609,64979,NULL,"World War II: Prisoner of War",world-war-ii-prisoner-of-war
110610,87177,NULL,"World War Heroes: FPS war game",world-war-heroes-fps-war-game
110611,112419,NULL,"Wars and Battles: October War",wars-and-battles-october-war
110612,93832,NULL,"Star Wars: Empire at War - Gold Pack",star-wars-empire-at-war-gold-pack
110613,121565,NULL,"Men of War: Assault Squad 2 - Cold War",men-of-war-assault-squad-2-cold-war
110614,90010,NULL,"Record of Grancrest War: Quartet of War",record-of-grancrest-war-quartet-of-war
110615,53399,NULL,"Napoleon: Total War  Heroes of the Napoleonic Wars",napoleon-total-war-heroes-of-the-napoleonic-w
110616,50914,NULL,"Empire: Total War & Napoleon: Total War (Gold Edition)",empire-total-war-and-napoleon-total-war-gold-
110617,129543,NULL,"Weird War - The Unknown Episode of World War II",weird-war-the-unknown-episode-of-world-war-ii
110618,82055,NULL,"Medieval: Total War - Collection",medieval-total-war-collection
110619,82071,NULL,"Medieval II: Total War - Collection",medieval-ii-total-war-collection
110620,84504,NULL,"GO Series: Defence Wars",go-series-defence-wars
110621,82026,NULL,"Total War: Attila - Celts Culture Pack",total-war-attila-celts-culture-pack
110622,83512,NULL,"Total War: Shogun 2 - Otomo Clan Pack DLC",total-war-shogun-2-otomo-clan-pack-dlc
110623,83516,NULL,"Total War: Shogun 2 - The Ikko Ikki Clan Pack",total-war-shogun-2-the-ikko-ikki-clan-pack
110624,83514,NULL,"Total War: Shogun 2 - The Hattori Clan Pack",total-war-shogun-2-the-hattori-clan-pack
110625,22556,NULL,"Worm War I",worm-war-i
110626,11127,NULL,Astrowar,astrowar
110627,102868,NULL,"World War 3",world-war-3
110628,122974,NULL,"War of Ashird",war-of-ashird
110629,77155,NULL,"Drug Wars",drug-wars--2
110630,37115,NULL,"Drug Wars",drug-wars--1
110631,94041,NULL,"War Z",war-z
110632,132983,NULL,"War-Torn Dreams",war-torn-dreams
110633,84405,NULL,"War of the Dead",war-of-the-dead
110634,61455,NULL,"Kingdoms at War",kingdoms-at-war
110635,76613,NULL,"War of Genesis III",war-of-genesis-iii
